Feature	Min	Max
21.30241313.30241647	0	3.11970643216419
21.30515719.30516034	0	3.69315238072582
21.30231319.30231498	0	3.09706799849658
21.29809370.29809618	0	2.12054769297065
21.30481487.30481738	0	2.21926146963157
21.30337905.30338056	0	2.99858907589597
21.29742380.29742549	0	4.91017619613884
21.30350149.30350493	0	2.4758708856984
21.29979050.29979358	0	1.6780764135276
21.30688630.30688911	0	2.12204979063321
21.30034160.30034472	0	1.80558137846452
21.30001441.30001705	0	2.46069014884874
21.29746230.29746541	0	2.56911919035334
21.30235153.30235421	0	3.63938267735206
21.30580967.30581275	0	2.20340791212534
21.30146972.30147152	0	5.50405146435349
21.30256112.30256458	0	2.55951383891539
21.30646949.30647268	0	2.72990728293054
21.30638494.30638831	0	2.22381174705878
21.29730297.29730645	0	1.72340565609035
21.30715016.30715363	0	2.72591780222475
21.30083183.30083529	0	2.24885661353928
21.30290789.30291085	0	2.25505652619153
21.30206628.30206831	0	3.13129643800307
21.30647600.30647767	0	2.05923066325807
21.29939916.29940238	0	2.3977263080972
21.29939541.29939839	0	3.26664113968604
21.30216028.30216363	0	4.26361287067098
21.30332703.30333052	0	2.5901636475497
21.30107316.30107655	0	1.70464182296567
21.30208885.30209071	0	2.58000796345893
21.30215329.30215531	0	3.37232252218505
21.29951464.29951792	0	2.04162148229579
21.30237396.30237723	0	1.82552921599857
21.29849370.29849653	0	3.28756537874819
21.29725112.29725448	0	2.84186848453017
21.30240642.30240991	0	2.84024165112349
21.30647802.30647979	0	2.6870786099061
21.30318111.30318266	0	2.73505420030993
21.29923428.29923629	0	4.06608919045777
21.30227075.30227414	0	6.45569216365735
21.30243418.30243694	0	4.11783631349298
21.30209654.30209894	0	3.26038402629071
21.29938831.29939091	0	2.16371447634648
21.30227727.30228059	0	4.39359467283056
21.30321533.30321764	0	2.6388129566001
21.30243717.30244028	0	4.05125897885709
21.29814157.29814500	0	2.1406576082637
21.30268699.30268901	0	2.56815131073502
21.30206878.30207228	0	3.4410438580624
21.29829653.29829860	0	2.06210098338186
21.29787626.29787899	0	2.3006772617402
21.30519535.30519687	0	5.76218667610315
21.30710529.30710865	0	2.3664760935101
21.30340561.30340743	0	3.90549531590843
21.30164803.30165153	0	3.76345406854347
21.30271632.30271829	0	2.85033738275543
21.29849656.29849979	0	2.62844933142176
21.30146593.30146922	0	5.16342224809654
21.30244158.30244359	0	4.6969564017959
21.30329333.30329504	0	2.42539484934009
21.30621938.30622169	0	2.52436211623839
21.29873979.29874233	0	2.42105629382061
21.29968217.29968554	0	2.17696099208944
21.30338722.30338955	0	3.53740789958118
21.29923180.29923340	0	3.96216030351837
21.29940458.29940616	0	2.09941977239387
21.30561680.30562020	0	2.17936135891449
21.29829952.29830282	0	2.54086793490378
21.30714489.30714824	0	3.28401656640335
21.30211138.30211468	0	2.17087045832543
21.30518929.30519232	0	2.8291676187633
21.29737130.29737331	0	4.59540817785663
21.29800092.29800442	0	2.45384414049169
21.30228100.30228345	0	5.55067291750612
21.30338148.30338328	0	3.36575271821507
21.30321807.30322038	0	2.28552354811243
21.30299216.30299563	0	2.8770963638637
21.30391626.30391938	0	2.69356947450796
21.30154215.30154413	0	3.5505928897043
21.30620106.30620449	0	2.29983369174434
21.29953078.29953426	0	2.77577960849001
21.30248923.30249145	0	3.01401243361611
21.30245104.30245448	0	2.85822175586458
21.30289240.30289584	0	3.03468233199131
21.30233595.30233855	0	3.11194606501221
21.29841792.29842140	0	2.23668241405026
21.30620631.30620832	0	3.30162276248513
21.30469408.30469758	0	2.22128627469189
21.29720229.29720386	0	2.48282505523324
21.29751563.29751797	0	2.45816148806186
21.29904901.29905247	0	3.15146432659686
21.30298869.30299184	0	2.77355332441521
21.30306898.30307230	0	3.57390768213392
21.30622176.30622424	0	2.75738387519097
21.30126592.30126942	0	2.30767915346864
21.30580146.30580472	0	1.97490003380323
21.30392366.30392704	0	2.87532595543003
21.29721262.29721592	0	2.56003501593168
21.29718390.29718735	0	3.12438769457721
21.30279648.30279904	0	2.23788183482065
21.30217224.30217476	0	4.68408935275804
21.30674320.30674620	0	2.10504776673922
21.30234638.30234978	0	3.13895532462074
21.29939158.29939462	0	2.55125760134391
21.30616151.30616417	0	1.64607507876243
21.29968919.29969246	0	1.83171107854258
21.30083672.30083865	0	2.88903735826085
21.30298204.30298548	0	2.56220089843286
21.29922701.29923023	0	3.89120529436781
21.29737333.29737658	0	4.40975750383323
21.30340866.30341211	0	2.54296869613147
21.29719584.29719931	0	2.60902917777729
21.30579338.30579684	0	1.96810550156772
21.29951916.29952266	0	1.96335204461415
21.30426726.30427074	0	2.1516088231555
21.30329592.30329830	0	1.96852579958087
21.30223627.30223976	0	4.91091970132913
21.30336708.30336883	0	2.73142005008688
21.30289616.30289876	0	2.70045303526462
21.29904375.29904719	0	2.4808674119875
21.30059459.30059782	0	3.00978607752732
21.30153804.30154152	0	2.78248195597694
21.30216467.30216704	0	4.83432693129895
